wmpid,full_name,name_fec,first_name,last_name,gender_wmp,fecid_2020,fecid_2022a,fecid_2022b,fecid_2022old,fecid_changed,crp_candidate_id,dateadded_person,notes_person,wmp_notes,supcourt_2022,supcourt_former,currsen_2022,prompol,former_uspres,intl_leaders,gov2022_gencd,face_category,latino_wmp,latino_crp,race_wmp,race_crp1,race_crp2,race_crpmena
WMPID305,Caroline Colarusso,"COLARUSSO, CAROLINE",Caroline,Colarusso,UNK,H0MA05132,H2MA05153,,,0,N00047072,11/3/2020,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID824,Carolyn B Maloney,"MALONEY, CAROLYN B.",Carolyn,Maloney,F,H2NY14037,H2NY14037,,,0,N00000078,11/3/2020,,,0,0,0,0,0,0,0,,0,n,White,W,NULL,n
WMPID1097,Carolyn Bourdeaux,"BOURDEAUX, CAROLYN",Carolyn,Bourdeaux,F,H8GA07201,H8GA07201,,,0,N00041791,11/3/2020,,,0,0,0,0,0,0,0,,0,n,White,W,NULL,n
WMPID3971,Carolyn Elizabeth Covell,"COVELL, CAROLYN ELIZABETH MRS",Carolyn Elizabeth,Covell,F,,H2CA31141,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID1276,Carolyn Long,"LONG, CAROLYN",Carolyn,Long,F,H8WA03198,,,,0,N00042301,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID2938,Carolyn Rush,"RUSH, CAROLYN",Carolyn,Rush,F,,H2NJ02219,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID631,Carolyn Salter,"SALTER, CAROLYN",Carolyn,Salter,F,H0TX05109,,,,0,N00046046,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID2505,Carrey Thompson,"THOMPSON, CARREY MR",Carrey,Thompson,UNK,,H2KS39012,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID3002,Carrick Ronan Morgan Flynn,"FLYNN, CARRICK RONAN MORGAN",Carrick Ronan Morgan,Flynn,M,,H2OR06090,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID2075,Carrie Kennedy,"KENNEDY, CARRIE R.",Carrie,Kennedy,F,,H2WA02227,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID2113,Carrie Lawlor,"LAWLOR, CARRIE",Carrie,Lawlor,F,,H2FL21181,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,1,Y,Hispanic/Latino,H,B,N
WMPID1963,CarriÃ Solages,"SOLAGES, CARRIÃ",CarriÃ,Solages,M,,H2NY04236,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,Black,B,NULL,NULL
WMPID3320,Carta Reale Sierra,"SIERRA, CARTA REALE",Carta Reale,Sierra,M,,S2ID00202,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID3477,Carter Morgan,"MORGAN, CARTER",Carter,Morgan,M,,H2FL10176,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID159,Casey Askar,"ASKAR, CASEY",Casey,Askar,M,H0FL19221,,,,0,N00046860,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID2157,Casey Chlebek,"CHLEBEK, CASEY",Casey,Chlebek,UNK,,S2IL00200,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID3353,Casey Sims O'Grady,"O'GRADY, CASEY SIMS",Casey Sims,O'Grady,OTHER,,S2SC00129,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID2670,Casey Wardynski,"WARDYNSKI, CASEY",Casey,Wardynski,M,,H2AL05128,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID4251,Casey William Hardison,"HARDISON, CASEY WILLIAM MR",Casey William,Hardison,UNK,,H2WY01057,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID101,Casper Stockham,"STOCKHAM, CASPER",Casper,Stockham,M,H0CO06101,,,,0,N00037585,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID3721,Cassandra Garcia,"GARCIA, CASSANDRA",Cassandra,Garcia,F,,H2TX28149,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,1,Y,Hispanic/Latino,H,NULL,NULL
WMPID4249,Cassandra Goodrum,"GOODRUM, CASSANDRA ATTORNEY",Cassandra,Goodrum,F,,H2IL01265,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID108,Cassandra Martineau,"MARTINEAU, CASSANDRA",Cassandra,Martineau,F,H0CT02215,,,,0,N00047360,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID3280,Cassandra Tanner Miller,"MILLER, CASSANDRA TANNER",Cassandra Tanner,Miller,F,,H2IL11157,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID3202,Cassidy Michael,"MICHAEL, CASSIDY",Cassidy,Michael,M,,H2MS03151,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID3274,Cassie Easley,"EASLEY, CASSIE",Cassie,Easley,F,,H2UT02506,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID2871,Cassius Marcellous Evergreen,"EVERGREEN, CASSIUS MARCELLOUS",Cassius Marcellous,Evergreen,UNK,,H2TX18165,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID2076,Catalina Lauf,"LAUF, CATALINA",Catalina,Lauf,F,,H2IL16107,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,1,Y,Hispanic/Latino,H,NULL,N
WMPID3471,Catherine Anne O'Shea,"O'SHEA, CATHERINE ANNE MS",Catherine Anne,O'Shea,UNK,,H0IL03125,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID1516,Catherine Cortez Masto,"CORTEZ MASTO, CATHERINE",Catherine,Cortez Masto,F,S6NV00200,S6NV00200,,,0,,11/3/2020,,,0,0,1,0,0,0,0,,1,Y,Hispanic/Latino,H,NULL,NULL
WMPID3671,Catherine Fleming Bruce,"BRUCE, CATHERINE FLEMING MS.",Catherine Fleming,Bruce,F,,S2SC00145,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,Black,B,NULL,N
WMPID763,Catherine Kunkel,"KUNKEL, CATHY",Cathy,Kunkel,F,H0WV02179,,,,0,N00045079,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID3041,Catherine Libberman,"LIBBERMAN, CATHERINE MRS",Catherine,Libberman,UNK,,H2GA19019,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID4887,Catherine Marie Sampson,"SAMPSON, CATHERINE MARIE",Catherine Marie,Sampson,F,,H2NV02593,,,0,,6/28/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID3575,Catherine Parker,"PARKER, CATHERINE F",Catherine,Parker,UNK,,H0NY17281,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID120,Catherine Purcell,"PURCELL, CATHERINE",Catherine,Purcell,F,H0DE01082,,,,0,N00047450,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID487,Cathy Bernstein,"BERNSTEIN, CATHY",Cathy,Bernstein,F,H0NY10112,,,,0,N00045524,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID937,Cathy McMorris Rodgers,"MCMORRIS RODGERS, CATHY",Cathy,Mcmorris-Rodgers,F,H4WA05077,H4WA05077,,,0,N00026314,11/3/2020,,,0,0,0,0,0,0,0,,0,n,White,W,NULL,n
