face_name,face_url,face_source,face_category,wmpid_status
Janet Yellen,https://www.whitehouse.gov/wp-content/uploads/2021/01/Janet_Yellen.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Lloyd Austin,https://www.whitehouse.gov/wp-content/uploads/2021/01/Lloyd_Austin.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Merrick Garland,https://www.whitehouse.gov/wp-content/uploads/2021/01/Merrick_Garland.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,Yes
Deb Haaland,https://www.whitehouse.gov/wp-content/uploads/2021/01/Deb_Haaland.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Tom Vilsack,https://www.whitehouse.gov/wp-content/uploads/2021/01/Tom_Vilsack.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Gina Raimondo,https://www.whitehouse.gov/wp-content/uploads/2021/01/Gina_Raimondo.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Marty Walsh,https://www.whitehouse.gov/wp-content/uploads/2021/01/Marty_Walsh.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Xavier Becerra,https://www.whitehouse.gov/wp-content/uploads/2021/01/Xavier_Becerra.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Marcia Fudge,https://www.whitehouse.gov/wp-content/uploads/2021/01/Marcia_Fudge.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Pete Buttigieg,https://www.whitehouse.gov/wp-content/uploads/2021/01/Pete_Buttigieg.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Jennifer Granholm,https://www.whitehouse.gov/wp-content/uploads/2021/01/Jennifer_Granholm1.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Miguel Cardona,https://www.whitehouse.gov/wp-content/uploads/2021/01/Miguel_Cardona.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Denis McDonough,https://www.whitehouse.gov/wp-content/uploads/2021/01/Denis_McDonough.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Alejandro Mayorkas,https://www.whitehouse.gov/wp-content/uploads/2021/01/Alejandro_Mayorkas.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Michael Regan,https://www.whitehouse.gov/wp-content/uploads/2021/01/Michael_Regan.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Avril Haines,https://www.whitehouse.gov/wp-content/uploads/2021/01/Avril_Haines-Blue-Background.png?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Katherine Tai,https://www.whitehouse.gov/wp-content/uploads/2021/01/Katherine_Tai.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Linda Thomas-Greenfield,https://www.whitehouse.gov/wp-content/uploads/2021/01/Linda_Thomas-Greenfield.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Cecilia Rouse,https://www.whitehouse.gov/wp-content/uploads/2021/01/Cecilia_Rouse.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Isabel Guzman,https://www.whitehouse.gov/wp-content/uploads/2021/01/Isabel_Guzman.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Shalanda Young ,https://www.whitehouse.gov/wp-content/uploads/2022/03/Shalanda-Young-Cabinet-1.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Arati Prabhakar,https://www.whitehouse.gov/wp-content/uploads/2022/11/Arati-Prabhakar-Cabinet.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Ron Klain,https://www.whitehouse.gov/wp-content/uploads/2021/01/RonKlain.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
Anthony Fauci,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Anthony_Fauci_2020.jpg/220px-Anthony_Fauci_2020.jpg,wikipedia,public health related,No
Tedros Adhanom Ghebreyesus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Mukhisa_Kituyi%2C_Houlin_Zhao%2C_Tedros_Adhanom_Ghebreyesus_with_Sophia_-_AI_for_Good_Global_Summit_2018_%2841223188035%29_%28cropped%29.jpg/220px-Mukhisa_Kituyi%2C_Houlin_Zhao%2C_Tedros_Adhanom_Ghebreyesus_with_Sophia_-_AI_for_Good_Global_Summit_2018_%2841223188035%29_%28cropped%29.jpg,wikipedia,international leaders,No
Rachel L. Levine,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Admiral_Rachel_L._Levine.jpg/220px-Admiral_Rachel_L._Levine.jpg,wikipedia,public health related,No
Vivek H. Murthy,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Vivek_Murthy%2C_Surgeon_General_%28profile%29.jpg/220px-Vivek_Murthy%2C_Surgeon_General_%28profile%29.jpg,wikipedia,public health related,No
Rochelle Walensky,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Rochelle_Walensky%2C_CDC_Director_%28cropped%29.jpg/220px-Rochelle_Walensky%2C_CDC_Director_%28cropped%29.jpg,wikipedia,public health related,No
Lawrence A. Tabak,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Lawrence_A._Tabak_official_portrait.jpg/220px-Lawrence_A._Tabak_official_portrait.jpg,wikipedia,public health related,No
Robert Califf,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Robert_M._Califf%2C_FDA_Commissioner.jpg/220px-Robert_M._Califf%2C_FDA_Commissioner.jpg,wikipedia,public health related,No
Martin Luther King Jr.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Martin_Luther_King%2C_Jr..jpg/220px-Martin_Luther_King%2C_Jr..jpg,wikipedia,historical figures,No
