bp_name_raw,bp_url,bp_name,_merge
"R. Leon Noble (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RLeonNoble.png,R. Leon Noble,left_only
"Matt Hackenburg (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Matt_Hackenburg.jpg,Matt Hackenburg,left_only
"Christina Digiulio (G) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ChristinaDigiulio.jpeg,Christina Digiulio,left_only
"Joseph Soloski (Keystone Party of Pennsylvania) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JosephSoloski.jpg,Joseph Soloski,left_only
"Zachary Baker Hurwitz (Independent) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ZacharyHurwitz.jpeg,Zachary Baker Hurwitz,left_only
"Paul Rianna Jr. (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/PaulRiannaJr..jpeg,Paul Rianna Jr.,left_only
"Elijah Gizzarelli (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Elijah_Gizzarelli.jpg,Elijah Gizzarelli,left_only
"Morgan Bruce Reeves (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Morgan-Bruce-Reeves.PNG,Morgan Bruce Reeves,left_only
"Mia McLeod
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/_Mia-McLeod_.jpg,Mia McLeod,left_only
"Tracey Quint (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tracey_Quint.jpeg,Tracey Quint,left_only
"Steven Haugaard
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Steven_Haugaard.jpg,Steven Haugaard,left_only
"John Gentry (Independent) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John-Gentry.PNG,John Gentry,left_only
"Constance Every (Independent) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Constance-Every.PNG,Constance Every,left_only
"Deborah Rouse (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DebbieRouse.jpeg,Deborah Rouse,left_only
"Mark Tippetts (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Tippetts.png,Mark Tippetts,left_only
"Delilah Barrios (G)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Delilah_Barrios-GP_texas_-_Copy.jpg,Delilah Barrios,left_only
"Jacqueline Abernathy (Independent) (Write-in) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/jabernathy.jpg,Jacqueline Abernathy,left_only
"Joan Ellis Beglinger (Independent) (Unofficially withdrew)
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Screen_Shot_2021-04-30_at_4.31.04_PM.png,Joan Ellis Beglinger,left_only
"Seth Haskin (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/SethHaskin.jpg,Seth Haskin,left_only
"Jared Baldes (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Theresa_Livingston.jpeg,Jared Baldes,left_only
