abc_name,abc_name_raw,abc_state,bp_name,bp_name_raw,bp_url,bp_url_filename
Chris Sununu,Chris Sununu,New Hampshire,Chris Sununu,"Chris Sununu (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chris_Sununu.jpg,Chris_Sununu.jpg
Mark Ronchetti,Mark Ronchetti,New Mexico,Mark Ronchetti,"Mark Ronchetti (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RonchettiHeadshot.jpg,RonchettiHeadshot.jpg
Lee Zeldin,Lee Zeldin,New York,Lee Zeldin,"Lee Zeldin (R / Conservative Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Lee_Zeldin_new_official_portrait.jpg,Lee_Zeldin_new_official_portrait.jpg
Mike DeWine,Mike DeWine,Ohio,Richard Michael DeWine,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MikeDeWine2015.jpg,MikeDeWine2015.jpg
Kevin Stitt,Kevin Stitt,Oklahoma,Kevin Stitt,"Kevin Stitt (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kevin.Stitt.jpg,Kevin.Stitt.jpg
Christine Drazan,Christine Drazan,Oregon,Christine Drazan,"Christine Drazan (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Christine_Drazan.jpg,Christine_Drazan.jpg
Doug Mastriano,Doug Mastriano,Pennsylvania,Doug Mastriano,"Doug Mastriano (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/doug_mastriano.jpg,doug_mastriano.jpg
Ashley Kalus,Ashley Kalus,Rhode Island,Ashley Kalus,"Ashley Kalus (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ashley_KalusRI.png,Ashley_KalusRI.png
Henry McMaster,Henry McMaster,South Carolina,Henry McMaster,"Henry McMaster (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mcmaster.jpg,Mcmaster.jpg
Kristi Noem,Kristi Noem,South Dakota,Kristi L. Noem,"Kristi L. Noem (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kristi_Noem.PNG,Kristi_Noem.PNG
Bill Lee,Bill Lee,Tennessee,Bill Lee,"Bill Lee (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/5947f4a8d785b.image.jpg,5947f4a8d785b.image.jpg
Greg Abbott,Greg Abbott,Texas,Greg Abbott,"Greg Abbott (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/GregAbbott2015.jpg,GregAbbott2015.jpg
Phil Scott,Phil Scott,Vermont,Phil Scott,"Phil Scott (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Phil_Scott.jpg,Phil_Scott.jpg
Tim Michels,Tim Michels,Wisconsin,Tim Michels,"Tim Michels (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TimMichels.png,TimMichels.png
Mark Gordon,Mark Gordon,Wyoming,Mark Gordon,"Mark Gordon (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Gordon.jpg,Mark-Gordon.jpg
Bill Walker ,Bill Walker (Ind),Alaska,Bill Walker,Bill Walker ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/BillWalker2015.jpg,BillWalker2015.jpg
Shane Hazel ,Shane Hazel (Lbt),Georgia,Shane Hazel,"Shane Hazel (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/shanehazel2.png,shanehazel2.png
Sam Hunkler ,Sam Hunkler (Ind),Maine,Sam Hunkler,"Sam Hunkler (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/IMG_0500.jpg,IMG_0500.jpg
Natalie Bruno ,Natalie Bruno (Lbt),Oklahoma,Natalie Bruno,"Natalie Bruno (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/nbruno.PNG,nbruno.PNG
Betsy Johnson ,Betsy Johnson (Ind),Oregon,Betsy Johnson,"Betsy Johnson (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Betsy-Johnson.PNG,Betsy-Johnson.PNG
Peter Duval ,Peter Duval (Ind),Vermont,Peter Duval,"Peter Duval (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Peter_Duval.jpeg,Peter_Duval.jpeg
Charlie Pierce ,Charlie Pierce (Rep),Alaska,Charlie Pierce,Charlie Pierce ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Charles-Pierce.PNG,Charles-Pierce.PNG
Ervin Yen ,Ervin Yen (Ind),Oklahoma,Ervin Yen,"Ervin Yen (Independent) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ErvinYen2022.jpg,ErvinYen2022.jpg
Kevin Hoyt ,Kevin Hoyt (Ind),Vermont,Kevin Hoyt,"Kevin Hoyt (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KevinHoyt.jpg,KevinHoyt.jpg
Bernard Peters ,Bernard Peters (Ind),Vermont,Bernard Peters,"Bernard Peters (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Bernard-Peters.PNG,Bernard-Peters.PNG
