wmpid,face_url,face_category
WMPID5184,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/James_Abram_Garfield%2C_photo_portrait_seated.jpg/320px-James_Abram_Garfield%2C_photo_portrait_seated.jpg,FormerPres
WMPID5232,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Chester_Alan_Arthur.jpg/320px-Chester_Alan_Arthur.jpg,FormerPres
WMPID5259,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg/320px-Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg,FormerPres
WMPID5256,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg/320px-Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg,FormerPres
WMPID5225,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Mckinley.jpg/320px-Mckinley.jpg,FormerPres
WMPID5200,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/President_Roosevelt_-_Pach_Bros.jpg/320px-President_Roosevelt_-_Pach_Bros.jpg,FormerPres
WMPID5230,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/William_Howard_Taft_-_Harris_and_Ewing.jpg/320px-William_Howard_Taft_-_Harris_and_Ewing.jpg,FormerPres
WMPID5201,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Thomas_Woodrow_Wilson%2C_Harris_%26_Ewing_bw_photo_portrait%2C_1919.jpg/320px-Thomas_Woodrow_Wilson%2C_Harris_%26_Ewing_bw_photo_portrait%2C_1919.jpg,FormerPres
WMPID5178,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Warren_G_Harding-Harris_%26_Ewing.jpg/320px-Warren_G_Harding-Harris_%26_Ewing.jpg,FormerPres
WMPID5238,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Calvin_Coolidge_cph.3g10777_%28cropped%29.jpg/320px-Calvin_Coolidge_cph.3g10777_%28cropped%29.jpg,FormerPres
WMPID5257,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/President_Hoover_portrait.jpg/320px-President_Hoover_portrait.jpg,FormerPres
WMPID5193,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/FDR_1944_Color_Portrait.jpg/320px-FDR_1944_Color_Portrait.jpg,FormerPres
WMPID5235,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/TRUMAN_58-766-06_%28cropped%29.jpg/320px-TRUMAN_58-766-06_%28cropped%29.jpg,FormerPres
WMPID5251,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg/320px-Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg,FormerPres
WMPID5222,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/John_F._Kennedy%2C_White_House_color_photo_portrait.jpg/320px-John_F._Kennedy%2C_White_House_color_photo_portrait.jpg,FormerPres
WMPID5208,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/37_Lyndon_Johnson_3x4.jpg/320px-37_Lyndon_Johnson_3x4.jpg,FormerPres
WMPID5196,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Richard_Nixon_presidential_portrait_%281%29.jpg/320px-Richard_Nixon_presidential_portrait_%281%29.jpg,FormerPres
WMPID5197,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Gerald_Ford_presidential_portrait.jpg/320px-Gerald_Ford_presidential_portrait.jpg,FormerPres
