bp_office,bp_url,bp_cand_office
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/1EnriquePetrisCA26CongressionalDistrict.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Derrick-Michael-Reid.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James_Conn.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Meet_Alison_Hartson_2018_fixed.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/EleanorGarcia.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chuck_Smith.png,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/David_MooreCA.png,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DaphneBradford.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Akinyemi-Agbede.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DianneFeinsteinReplace.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/CarlosGuillermoTapia.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/dhpierce.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Finalist_-_Version_3.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ling_Ling_Shi.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jason_Hanania.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JamesBradley_California__fixed.JPG,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Obaidul_Huq_Pirjada.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MyronHall.png,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/CordieWilliams2.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Adrienne_Nicole_Edwards.png,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mario_Nabliba.jpg,S
